32285
20140802065831,10.0.0.4,39309,10.0.0.6,5001,3,0.0-1.0,393216,3145728
20140802065832,10.0.0.4,39309,10.0.0.6,5001,3,1.0-2.0,131072,1048576
20140802065833,10.0.0.4,39309,10.0.0.6,5001,3,2.0-3.0,262144,2097152
20140802065834,10.0.0.4,39309,10.0.0.6,5001,3,3.0-4.0,262144,2097152
20140802065835,10.0.0.4,39309,10.0.0.6,5001,3,4.0-5.0,262144,2097152
20140802065836,10.0.0.4,39309,10.0.0.6,5001,3,5.0-6.0,262144,2097152
20140802065837,10.0.0.4,39309,10.0.0.6,5001,3,6.0-7.0,131072,1048576
20140802065838,10.0.0.4,39309,10.0.0.6,5001,3,7.0-8.0,393216,3145728
20140802065839,10.0.0.4,39309,10.0.0.6,5001,3,8.0-9.0,262144,2097152
20140802065840,10.0.0.4,39309,10.0.0.6,5001,3,9.0-10.0,262144,2097152
20140802065842,10.0.0.4,39309,10.0.0.6,5001,3,10.0-11.0,262144,2097152
20140802065842,10.0.0.4,39309,10.0.0.6,5001,3,11.0-12.0,131072,1048576
20140802065843,10.0.0.4,39309,10.0.0.6,5001,3,12.0-13.0,262144,2097152
20140802065844,10.0.0.4,39309,10.0.0.6,5001,3,13.0-14.0,262144,2097152
20140802065846,10.0.0.4,39309,10.0.0.6,5001,3,14.0-15.0,262144,2097152
20140802065846,10.0.0.4,39309,10.0.0.6,5001,3,15.0-16.0,0,0
20140802065847,10.0.0.4,39309,10.0.0.6,5001,3,16.0-17.0,393216,3145728
20140802065848,10.0.0.4,39309,10.0.0.6,5001,3,17.0-18.0,262144,2097152
20140802065850,10.0.0.4,39309,10.0.0.6,5001,3,18.0-19.0,262144,2097152
20140802065851,10.0.0.4,39309,10.0.0.6,5001,3,19.0-20.0,131072,1048576
20140802065851,10.0.0.4,39309,10.0.0.6,5001,3,20.0-21.0,131072,1048576
20140802065852,10.0.0.4,39309,10.0.0.6,5001,3,21.0-22.0,131072,1048576
20140802065853,10.0.0.4,39309,10.0.0.6,5001,3,22.0-23.0,262144,2097152
20140802065854,10.0.0.4,39309,10.0.0.6,5001,3,23.0-24.0,262144,2097152
20140802065855,10.0.0.4,39309,10.0.0.6,5001,3,24.0-25.0,262144,2097152
20140802065856,10.0.0.4,39309,10.0.0.6,5001,3,25.0-26.0,131072,1048576
20140802065857,10.0.0.4,39309,10.0.0.6,5001,3,26.0-27.0,262144,2097152
20140802065858,10.0.0.4,39309,10.0.0.6,5001,3,27.0-28.0,131072,1048576
20140802065859,10.0.0.4,39309,10.0.0.6,5001,3,28.0-29.0,262144,2097152
20140802065900,10.0.0.4,39309,10.0.0.6,5001,3,29.0-30.0,131072,1048576
20140802065900,10.0.0.4,39309,10.0.0.6,5001,3,0.0-30.9,6946816,1796306
